,Landing,Date,Boat,Trip Type,Anglers,Fish Count
0,daveys-locker,2019-01-11,Western Pride,1/2 Day PM,35,"38 Sand Bass, 16 Sculpin, 10 Blacksmith"
1,daveys-locker,2019-01-12,Western Pride,1/2 Day Twilight,66,"138 Sculpin, 28 Sand Bass"
2,daveys-locker,2019-01-19,Western Pride,1/2 Day AM,76,"150 Sculpin Released, 102 Sculpin, 40 Sanddab"
3,daveys-locker,2019-01-19,Western Pride,1/2 Day Twilight,67,"156 Sculpin, 29 Sand Bass, 5 Black Croaker, 3 Blue Perch"
4,daveys-locker,2019-01-20,Western Pride,1/2 Day AM,62,161 Sculpin
5,daveys-locker,2019-01-20,Western Pride,1/2 Day Twilight,79,"131 Sculpin, 18 Sand Bass, 2 Blue Perch, 2 Blacksmith"
6,daveys-locker,2019-01-21,Western Pride,1/2 Day Twilight,43,"51 Sculpin, 10 Sand Bass, 7 Blue Perch, 2 Black Croaker, 1 Sargo"
7,daveys-locker,2019-01-25,Western Pride,1/2 Day PM,31,"75 Blacksmith, 38 Sand Bass, 16 Sculpin, 2 Blue Perch"
8,daveys-locker,2019-01-26,Western Pride,1/2 Day Twilight,82,"173 Sculpin, 28 Sand Bass, 5 Black Croaker, 5 Blue Perch"
9,daveys-locker,2019-01-27,Bongos,1/2 Day PM,5,"1 Halibut, 1 Thresher Shark"
10,daveys-locker,2019-01-27,Western Pride,1/2 Day Twilight,80,"75 Sculpin, 5 Sand Bass"
11,daveys-locker,2019-01-28,Western Pride,1/2 Day PM,21,"30 Blacksmith, 5 Sand Bass"
12,daveys-locker,2019-01-30,Western Pride,1/2 Day PM,20,"35 Blue Perch, 17 Sand Bass"
13,daveys-locker,2019-02-01,Western Pride,1/2 Day PM,20,"36 Sand Bass, 18 Blacksmith, 7 Sculpin"
14,daveys-locker,2019-02-07,Western Pride,1/2 Day PM,24,"25 Blacksmith, 19 Sand Bass, 5 Sculpin"
15,daveys-locker,2019-02-08,Western Pride,1/2 Day AM,19,"85 Sand Bass, 70 Blacksmith, 10 Sculpin, 1 Sargo"
16,daveys-locker,2019-02-10,Bongos,1/2 Day Twilight,6,2 Pacific Halibut Released
17,daveys-locker,2019-02-10,Western Pride,1/2 Day Twilight,31,"50 Sculpin, 18 Sand Bass"
18,daveys-locker,2019-02-11,Western Pride,1/2 Day PM,39,"115 Blacksmith, 42 Sand Bass, 11 Sculpin"
19,daveys-locker,2019-02-18,Freelance,3/4 Day,36,"130 Sculpin, 35 Blacksmith, 1 Sand Bass"
20,daveys-locker,2019-02-23,Bongos,1/2 Day AM,5,1 Halibut
21,daveys-locker,2019-02-23,Freelance,1/2 Day Twilight,38,"35 Sculpin, 20 Sand Bass"
22,daveys-locker,2019-02-23,Freelance,3/4 Day,70,"235 Sculpin, 135 Sanddab, 95 Blacksmith, 1 Sand Bass"
23,daveys-locker,2019-02-24,Freelance,1/2 Day Twilight,39,"40 Sculpin, 20 Sand Bass"
24,daveys-locker,2019-02-24,Freelance,3/4 Day,44,"220 Sculpin, 60 Sanddab, 35 Blacksmith"
25,daveys-locker,2019-03-01,Freelance,3/4 Day,55,"120 Whitefish, 115 Rockfish, 70 Vermilion Rockfish"
26,daveys-locker,2019-03-01,Western Pride,1/2 Day PM,27,"215 Vermilion Rockfish, 15 Rockfish, 3 Bocaccio, 2 Sculpin"
27,daveys-locker,2019-03-02,Freelance,1/2 Day Twilight,52,"150 Sculpin, 25 Sand Bass"
28,daveys-locker,2019-03-02,Freelance,3/4 Day,33,"65 Rockfish, 44 Whitefish, 43 Sculpin, 35 Vermilion Rockfish, 11 Sanddab"
29,daveys-locker,2019-03-03,Freelance,3/4 Day,46,"215 Sculpin, 100 Rockfish, 60 Whitefish"
30,daveys-locker,2019-03-04,Freelance,3/4 Day,44,"116 Sculpin, 74 Rockfish, 60 Whitefish, 3 Blue Perch, 1 Sheephead"
31,daveys-locker,2019-03-08,Freelance,3/4 Day,37,"100 Vermilion Rockfish, 37 Whitefish"
32,daveys-locker,2019-03-09,Freelance,3/4 Day,75,"110 Sculpin, 90 Rockfish, 80 Whitefish, 30 Vermilion Rockfish, 30 Sanddab, 2 Sheephead"
33,daveys-locker,2019-03-09,Western Pride,1/2 Day AM,42,"110 Rockfish, 73 Bocaccio, 52 Vermilion Rockfish, 35 Sculpin, 12 Whitefish, 10 Sanddab"
34,daveys-locker,2019-03-10,Freelance,1/2 Day Twilight,41,"100 Sculpin, 5 Sand Bass"
35,daveys-locker,2019-03-10,Freelance,3/4 Day,65,"180 Rockfish, 148 Vermilion Rockfish, 55 Whitefish, 15 Bocaccio, 8 Sheephead, 5 Blue Perch, 2 Sculpin, 1 Bonito"
36,daveys-locker,2019-03-10,Western Pride,1/2 Day AM,47,"160 Rockfish, 30 Vermilion Rockfish, 18 Sculpin, 12 Bocaccio, 5 Sanddab"
37,daveys-locker,2019-03-10,Western Pride,1/2 Day PM,43,"40 Vermilion Rockfish, 25 Rockfish, 7 Sanddab, 4 Whitefish, 2 Bocaccio, 1 Sculpin"
38,daveys-locker,2019-03-11,Bongos,3/4 Day,1,25 Rockfish
39,daveys-locker,2019-03-11,Freelance,3/4 Day,29,"107 Vermilion Rockfish, 76 Whitefish, 71 Rockfish, 5 Bocaccio, 4 Sheephead"
40,daveys-locker,2019-03-11,Western Pride,1/2 Day PM,21,"138 Vermilion Rockfish, 26 Rockfish, 13 Bocaccio, 1 Wolf Eel"
41,daveys-locker,2019-03-13,Freelance,3/4 Day,38,"175 Whitefish, 100 Sanddab, 88 Sculpin, 65 Rockfish, 28 Vermilion Rockfish"
42,daveys-locker,2019-03-14,Freelance,3/4 Day,31,"300 Whitefish, 140 Sculpin, 50 Sanddab, 45 Rockfish, 1 Lingcod, 1 Sheephead"
43,daveys-locker,2019-03-15,Freelance,3/4 Day,37,"205 Rockfish, 150 Vermilion Rockfish, 10 Whitefish, 5 Sheephead"
44,daveys-locker,2019-03-16,Bongos,Full Day,5,"40 Vermilion Rockfish, 5 Rockfish, 4 Sheephead, 1 Lingcod"
45,daveys-locker,2019-03-16,Freelance,1/2 Day Twilight,44,"60 Sculpin, 10 Sand Bass, 2 Rockfish, 1 Blacksmith"
46,daveys-locker,2019-03-16,Freelance,3/4 Day,59,"295 Whitefish, 75 Sculpin, 60 Rockfish, 50 Sanddab"
47,daveys-locker,2019-03-16,Thunderbird,Overnight,35,"270 Rockfish, 117 Whitefish, 4 Lingcod, 4 Sheephead"
48,daveys-locker,2019-03-16,Western Pride,1/2 Day AM,46,"75 Rockfish, 38 Sculpin, 32 Sanddab, 26 Vermilion Rockfish, 25 Bocaccio, 20 Whitefish"
49,daveys-locker,2019-03-17,Bongos,Full Day,4,"40 Rockfish, 12 Whitefish, 4 Sheephead"
50,daveys-locker,2019-03-17,Freelance,3/4 Day,80,"260 Rockfish, 115 Vermilion Rockfish, 20 Whitefish, 2 Sheephead"
51,daveys-locker,2019-03-17,Thunderbird,Overnight,26,"260 Rockfish, 177 Whitefish, 9 Sheephead, 4 Lingcod, 1 Yellowtail"
52,daveys-locker,2019-03-17,Western Pride,1/2 Day AM,55,"205 Sanddab, 75 Rockfish, 52 Vermilion Rockfish, 38 Sculpin, 17 Bocaccio, 12 Whitefish"
53,daveys-locker,2019-03-18,Freelance,3/4 Day,35,"121 Rockfish, 55 Whitefish, 38 Vermilion Rockfish, 5 Bocaccio, 2 Sheephead, 1 Sculpin"
54,daveys-locker,2019-03-18,Thunderbird,Overnight,30,"300 Rockfish, 127 Whitefish, 6 Sheephead"
55,daveys-locker,2019-03-18,Western Pride,1/2 Day PM,27,"195 Vermilion Rockfish, 25 Rockfish"
56,daveys-locker,2019-03-19,Bongos,3/4 Day,6,"25 Calico Bass Released, 20 Rockfish, 5 Bocaccio, 4 Sculpin, 2 Whitefish, 1 Calico Bass"
57,daveys-locker,2019-03-19,Freelance,3/4 Day,30,"105 Rockfish, 35 Bocaccio, 15 Whitefish"
58,daveys-locker,2019-03-19,Western Pride,1/2 Day PM,21,"35 Rockfish, 33 Vermilion Rockfish, 18 Blacksmith, 12 Whitefish, 10 Sand Bass, 3 Sculpin"
59,daveys-locker,2019-03-20,Freelance,3/4 Day,25,"100 Sanddab, 85 Sculpin, 40 Whitefish, 15 Vermilion Rockfish, 10 Blue Perch, 10 Blacksmith, 2 Sheephead, 1 Cabezon Released"
60,daveys-locker,2019-03-20,Western Pride,1/2 Day AM,23,"26 Whitefish, 16 Vermilion Rockfish, 12 Rockfish, 12 Blacksmith, 2 Sculpin"
61,daveys-locker,2019-03-20,Western Pride,1/2 Day PM,38,"37 Whitefish, 15 Vermilion Rockfish, 11 Blacksmith, 10 Rockfish, 2 Sculpin, 2 Blue Perch, 2 Sheephead, 1 Sargo"
62,daveys-locker,2019-03-22,Freelance,3/4 Day,63,"155 Rockfish, 44 Vermilion Rockfish, 37 Whitefish, 18 Sculpin, 15 Bocaccio, 2 Sheephead"
63,daveys-locker,2019-03-22,Thunderbird,Overnight,10,"100 Rockfish, 96 Whitefish, 4 Sheephead"
64,daveys-locker,2019-03-22,Western Pride,1/2 Day PM,39,"160 Sanddab, 39 Sculpin, 35 Vermilion Rockfish, 33 Rockfish, 10 Bocaccio, 8 Whitefish"
65,daveys-locker,2019-03-23,Freelance,1/2 Day Twilight,63,81 Sculpin
66,daveys-locker,2019-03-23,Freelance,1/2 Day Twilight,63,81 Sculpin
67,daveys-locker,2019-03-23,Freelance,3/4 Day,54,"162 Rockfish, 102 Whitefish, 50 Vermilion Rockfish, 4 Sheephead, 3 Sculpin, 1 Bonito"
68,daveys-locker,2019-03-23,Thunderbird,Overnight,37,"312 Rockfish, 307 Whitefish"
69,daveys-locker,2019-03-23,Western Pride,1/2 Day AM,22,"42 Vermilion Rockfish, 21 Whitefish, 18 Bocaccio, 5 Blacksmith, 1 Sculpin"
70,daveys-locker,2019-03-23,Western Pride,1/2 Day PM,50,"195 Sanddab, 36 Rockfish, 21 Whitefish, 15 Vermilion Rockfish, 12 Sculpin"
71,daveys-locker,2019-03-24,Freelance,1/2 Day Twilight,41,"78 Sculpin, 8 Sand Bass, 2 Blue Perch, 1 Sheephead, 1 Calico Bass"
72,daveys-locker,2019-03-24,Freelance,3/4 Day,79,"220 Rockfish, 130 Whitefish, 10 Blacksmith, 5 Sculpin, 3 Sheephead"
73,daveys-locker,2019-03-24,Thunderbird,Overnight,24,"216 Rockfish, 60 Whitefish"
74,daveys-locker,2019-03-24,Western Pride,1/2 Day AM,62,"110 Whitefish, 8 Rockfish, 4 Sculpin, 1 Sand Bass"
75,daveys-locker,2019-03-25,Bongos,Full Day,6,"38 Whitefish, 29 Rockfish, 17 Vermilion Rockfish"
76,daveys-locker,2019-03-25,Bongos,Full Day,6,"25 Rockfish, 10 Vermilion Rockfish"
77,daveys-locker,2019-03-25,Freelance,3/4 Day,46,"111 Whitefish, 45 Rockfish, 24 Vermilion Rockfish, 2 Sculpin, 1 Rock Sole"
78,daveys-locker,2019-03-25,Thunderbird,Overnight,15,"150 Rockfish, 82 Whitefish, 3 Lingcod, 1 Sheephead"
79,daveys-locker,2019-03-25,Western Pride,1/2 Day PM,22,"45 Rockfish, 43 Vermilion Rockfish, 3 Whitefish, 1 Lingcod"
80,daveys-locker,2019-03-26,Western Pride,1/2 Day PM,17,"57 Vermilion Rockfish, 39 Rockfish, 10 Bocaccio"
81,daveys-locker,2019-03-27,Freelance,3/4 Day,54,"209 Rockfish, 61 Vermilion Rockfish, 22 Whitefish, 10 Bocaccio, 2 Sheephead, 1 Blue Perch"
82,daveys-locker,2019-03-27,Western Pride,1/2 Day PM,32,"99 Vermilion Rockfish, 29 Rockfish, 13 Whitefish, 11 Bocaccio, 2 Blacksmith, 1 Sculpin"
83,daveys-locker,2019-03-28,Freelance,3/4 Day,60,"225 Whitefish, 215 Rockfish, 50 Sanddab, 40 Vermilion Rockfish, 10 Sculpin"
84,daveys-locker,2019-03-28,Thunderbird,Overnight,27,"270 Rockfish, 70 Whitefish"
85,daveys-locker,2019-03-29,Freelance,3/4 Day,80,"85 Rockfish, 40 Sheephead, 30 Vermilion Rockfish, 5 Blue Perch, 3 Spanish Jack, 1 Sculpin"
86,daveys-locker,2019-03-30,Bongos,Full Day,6,40 Rockfish
87,daveys-locker,2019-03-30,Bongos,Full Day,5,25 Rockfish
88,daveys-locker,2019-03-30,Freelance,1/2 Day Twilight,44,"40 Sculpin, 5 Sand Bass, 5 Rockfish"
89,daveys-locker,2019-03-30,Freelance,3/4 Day,76,"215 Rockfish, 170 Whitefish, 125 Sanddab, 25 Vermilion Rockfish, 22 Blue Perch, 20 Sculpin"
90,daveys-locker,2019-03-30,Thunderbird,Overnight,29,"290 Rockfish, 139 Whitefish, 4 Sheephead"
91,daveys-locker,2019-03-30,Western Pride,1/2 Day AM,70,"108 Sculpin, 41 Bocaccio, 25 Rockfish, 22 Whitefish, 20 Vermilion Rockfish, 15 Sanddab"
92,daveys-locker,2019-03-30,Western Pride,1/2 Day AM,70,"108 Sculpin, 41 Bocaccio, 25 Rockfish, 22 Whitefish, 20 Vermilion Rockfish, 15 Sanddab"
93,daveys-locker,2019-03-31,Freelance,3/4 Day,80,"175 Rockfish, 80 Whitefish, 70 Bocaccio, 60 Vermilion Rockfish, 5 Sheephead, 1 Barracuda"
94,daveys-locker,2019-03-31,Thunderbird,Overnight,28,"280 Rockfish, 127 Whitefish, 14 Sheephead, 1 Rock Sole"
95,daveys-locker,2019-03-31,Western Pride,1/2 Day AM,75,"205 Sanddab, 170 Rockfish, 62 Sculpin, 18 Whitefish, 17 Bocaccio, 11 Vermilion Rockfish"
96,daveys-locker,2019-04-01,Bongos,1/2 Day AM,4,40 Rockfish
97,daveys-locker,2019-04-01,Freelance,3/4 Day,70,"70 Rockfish, 38 Whitefish, 17 Bocaccio, 16 Sheephead, 13 Vermilion Rockfish, 7 Sanddab"
98,daveys-locker,2019-04-01,Thunderbird,Overnight,20,"200 Rockfish, 39 Whitefish, 15 Bonito, 1 Lingcod"
99,daveys-locker,2019-04-01,Western Pride,1/2 Day PM,26,"130 Sculpin, 47 Rockfish, 31 Bocaccio, 12 Whitefish, 10 Vermilion Rockfish"
100,daveys-locker,2019-04-03,Freelance,3/4 Day,46,"103 Sculpin, 72 Rockfish, 67 Whitefish, 24 Vermilion Rockfish, 20 Blue Perch, 2 Sheephead"
101,daveys-locker,2019-04-03,Thunderbird,Overnight,27,"270 Rockfish, 39 Whitefish, 7 Sheephead, 1 Lingcod"
102,daveys-locker,2019-04-03,Western Pride,1/2 Day PM,38,"134 Sculpin, 10 Rockfish, 3 Vermilion Rockfish, 1 Bocaccio, 1 Whitefish"
103,daveys-locker,2019-04-04,Freelance,3/4 Day,63,"156 Sculpin, 110 Rockfish, 80 Whitefish, 75 Sanddab, 28 Vermilion Rockfish"
104,daveys-locker,2019-04-04,Thunderbird,Overnight,30,"300 Rockfish, 42 Whitefish, 2 Sheephead, 1 Lingcod"
105,daveys-locker,2019-04-04,Western Pride,1/2 Day PM,49,"138 Sculpin, 16 Bocaccio, 15 Rockfish, 10 Sanddab, 7 Whitefish, 2 Vermilion Rockfish"
106,daveys-locker,2019-04-05,Freelance,3/4 Day,49,"130 Rockfish, 70 Whitefish, 45 Vermilion Rockfish, 2 Sheephead"
107,daveys-locker,2019-04-05,Thunderbird,Overnight,37,"370 Rockfish, 339 Whitefish, 9 Sheephead, 3 Lingcod"
108,daveys-locker,2019-04-05,Western Pride,1/2 Day PM,30,"81 Sculpin, 28 Sanddab, 12 Rockfish, 3 Bocaccio, 2 Vermilion Rockfish"
109,daveys-locker,2019-04-07,Freelance,1/2 Day Twilight,25,"41 Sculpin, 2 Sand Bass, 2 Rockfish"
110,daveys-locker,2019-04-07,Freelance,3/4 Day,75,"155 Rockfish, 75 Whitefish, 50 Vermilion Rockfish, 2 Sheephead"
111,daveys-locker,2019-04-07,Thunderbird,Overnight,23,"189 Whitefish, 145 Rockfish, 85 Vermilion Rockfish, 11 Sheephead, 3 Lingcod"
112,daveys-locker,2019-04-07,Western Pride,1/2 Day AM,52,"55 Sanddab, 40 Sculpin, 29 Rockfish, 14 Bocaccio, 10 Vermilion Rockfish"
113,daveys-locker,2019-04-08,Freelance,3/4 Day,45,"250 Whitefish, 89 Rockfish, 41 Vermilion Rockfish, 12 Bocaccio, 3 Sheephead"
114,daveys-locker,2019-04-08,Thunderbird,Overnight,23,"227 Whitefish, 207 Rockfish, 3 Sheephead"
115,daveys-locker,2019-04-08,Western Pride,1/2 Day PM,19,"104 Vermilion Rockfish, 42 Rockfish, 11 Bocaccio, 2 Sculpin"
116,daveys-locker,2019-04-11,Freelance,3/4 Day,56,"140 Whitefish, 95 Sanddab, 75 Sculpin, 20 Rockfish"
117,daveys-locker,2019-04-11,Thunderbird,Overnight,23,"62 Rockfish, 35 Whitefish, 3 Sheephead, 1 Yellowtail"
118,daveys-locker,2019-04-11,Western Pride,1/2 Day PM,23,"85 Vermilion Rockfish, 22 Rockfish, 2 Bocaccio"
119,daveys-locker,2019-04-12,Bongos,3/4 Day,6,40 Rockfish
120,daveys-locker,2019-04-12,Freelance,3/4 Day,54,"220 Whitefish, 90 Sanddab, 80 Rockfish, 45 Sculpin, 30 Vermilion Rockfish"
121,daveys-locker,2019-04-12,Western Pride,1/2 Day PM,15,"56 Vermilion Rockfish, 35 Rockfish, 8 Bocaccio, 2 Blue Perch, 1 Sand Bass"
122,daveys-locker,2019-04-13,Bongos,3/4 Day,10,"75 Rockfish, 10 Sargo"
123,daveys-locker,2019-04-13,Freelance,3/4 Day,77,"160 Rockfish, 80 Whitefish, 40 Vermilion Rockfish, 2 Sculpin"
124,daveys-locker,2019-04-13,Thunderbird,Overnight,33,"264 Rockfish, 99 Whitefish, 9 Sheephead, 1 Yellowtail"
125,daveys-locker,2019-04-13,Western Pride,1/2 Day AM,62,"99 Rockfish, 65 Bocaccio, 62 Sculpin, 20 Sanddab, 10 Whitefish, 6 Vermilion Rockfish"
126,daveys-locker,2019-04-18,Freelance,3/4 Day,73,"150 Sanddab, 103 Sculpin, 90 Rockfish, 75 Whitefish, 35 Vermilion Rockfish"
127,daveys-locker,2019-04-18,Thunderbird,1/2 Day AM,41,"34 Rockfish, 28 Sculpin, 22 Whitefish"
128,daveys-locker,2019-04-20,Freelance,1/2 Day Twilight,45,"35 Sculpin, 2 Rockfish, 2 Sand Bass"
129,daveys-locker,2019-04-20,Freelance,3/4 Day,55,"125 Sanddab, 110 Sculpin, 45 Whitefish, 15 Vermilion Rockfish"
130,daveys-locker,2019-04-20,Thunderbird,1/2 Day AM,21,"25 Bocaccio, 5 Vermilion Rockfish, 3 Rockfish"
131,daveys-locker,2019-04-20,Thunderbird,1/2 Day PM,41,"35 Sculpin, 22 Bocaccio, 5 Rockfish"
132,daveys-locker,2019-04-20,Western Pride,1/2 Day AM,77,"110 Sanddab, 85 Sculpin, 25 Rockfish, 10 Bocaccio, 5 Vermilion Rockfish, 2 Whitefish"
133,daveys-locker,2019-04-21,Freelance,1/2 Day Twilight,39,"15 Sculpin, 15 Sand Bass"
134,daveys-locker,2019-04-21,Freelance,3/4 Day,55,"150 Sculpin, 120 Rockfish, 20 Whitefish"
135,daveys-locker,2019-04-21,Western Pride,1/2 Day AM,52,"110 Sanddab, 100 Sculpin, 30 Rockfish, 6 Vermilion Rockfish, 4 Bocaccio, 3 Whitefish"
136,daveys-locker,2019-04-22,Freelance,3/4 Day,61,"121 Sculpin, 96 Whitefish, 77 Rockfish, 37 Vermilion Rockfish, 3 Sheephead"
137,daveys-locker,2019-04-22,Western Pride,1/2 Day PM,37,"121 Sculpin, 30 Sanddab, 17 Rockfish, 14 Bocaccio, 2 Whitefish, 2 Vermilion Rockfish"
138,daveys-locker,2019-04-23,Freelance,3/4 Day,46,"77 Rockfish, 67 Whitefish, 23 Vermilion Rockfish, 10 Blue Perch, 4 Sanddab, 1 Sculpin"
139,daveys-locker,2019-04-24,Freelance,3/4 Day,47,"69 Sculpin, 47 Rockfish, 37 Whitefish, 13 Vermilion Rockfish, 6 Bocaccio"
140,daveys-locker,2019-04-24,Thunderbird,Overnight,12,"120 Bonito, 43 Whitefish, 29 Rockfish, 3 Yellowtail, 2 Lingcod, 1 Halibut"
141,daveys-locker,2019-04-25,Freelance,3/4 Day,47,"181 Whitefish, 73 Sculpin, 50 Rockfish, 15 Vermilion Rockfish"
142,daveys-locker,2019-04-25,Western Pride,1/2 Day PM,22,"110 Sculpin, 38 Rockfish, 32 Vermilion Rockfish, 22 Bocaccio"
143,daveys-locker,2019-04-26,Freelance,3/4 Day,65,"107 Rockfish, 65 Whitefish, 6 Sculpin, 4 Sheephead"
144,daveys-locker,2019-04-26,Thunderbird,Overnight,22,"220 Bonito, 71 Yellowtail"
145,daveys-locker,2019-04-26,Western Pride,1/2 Day PM,30,"92 Sculpin, 30 Vermilion Rockfish, 27 Bocaccio, 25 Rockfish, 3 Whitefish"
146,daveys-locker,2019-04-27,Bongos,Full Day,4,7 Yellowtail
147,daveys-locker,2019-04-27,Freelance,3/4 Day,76,"320 Sanddab, 85 Sculpin, 75 Whitefish, 35 Rockfish"
148,daveys-locker,2019-04-27,Thunderbird,Overnight,37,"89 Bonito, 62 Yellowtail, 1 Thresher Shark"
149,daveys-locker,2019-04-28,Freelance,1/2 Day Twilight,21,"31 Sculpin, 7 Sand Bass, 4 Rockfish"
150,daveys-locker,2019-04-28,Freelance,3/4 Day,79,"210 Sanddab, 85 Sculpin, 80 Rockfish, 20 Whitefish"
151,daveys-locker,2019-04-28,Thunderbird,Overnight,28,"26 Yellowtail, 6 Rockfish, 2 Bonito, 2 Halibut, 2 Sheephead"
152,daveys-locker,2019-04-29,Freelance,3/4 Day,30,"67 Whitefish, 41 Rockfish, 15 Bocaccio, 7 Vermilion Rockfish, 2 Calico Bass, 1 Sculpin, 1 Halibut, 1 Blue Perch"
153,daveys-locker,2019-04-29,Thunderbird,Overnight,36,"68 Rockfish, 48 Whitefish, 6 Sheephead, 5 Yellowtail, 1 Lingcod"
154,daveys-locker,2019-04-29,Western Pride,1/2 Day PM,15,"50 Bocaccio, 8 Vermilion Rockfish, 3 Rockfish, 1 Sculpin, 1 Lingcod, 1 Sheephead"
155,daveys-locker,2019-04-30,Freelance,3/4 Day,24,"152 Whitefish, 61 Bocaccio, 42 Rockfish, 10 Sculpin, 9 Yellowtail, 8 Vermilion Rockfish, 6 Sand Bass, 3 Calico Bass"
156,daveys-locker,2019-04-30,Thunderbird,Overnight,29,"218 Rockfish, 113 Whitefish, 7 Sheephead, 4 Yellowtail, 3 Bonito, 2 Barracuda, 1 Lingcod"
157,daveys-locker,2019-05-01,Freelance,3/4 Day,48,"41 Whitefish, 40 Bocaccio, 31 Rockfish, 21 Sculpin, 18 Vermilion Rockfish, 6 Yellowtail, 1 Halibut"
158,daveys-locker,2019-05-01,Thunderbird,Overnight,21,"98 Rockfish, 93 Yellowtail, 65 Whitefish, 4 Sheephead, 3 Calico Bass, 2 Bonito, 1 Lingcod"
159,daveys-locker,2019-05-02,Freelance,3/4 Day,72,"175 Sanddab, 125 Sculpin, 70 Rockfish, 45 Bocaccio, 1 Lingcod"
160,daveys-locker,2019-05-02,Thunderbird,Overnight,37,"207 Rockfish, 93 Whitefish, 8 Sheephead, 6 Bonito, 6 Yellowtail"
161,daveys-locker,2019-05-02,Western Pride,1/2 Day PM,24,"22 Sculpin, 10 Rockfish, 6 Calico Bass, 5 Sand Bass, 5 Yellowtail, 1 Sheephead"
162,daveys-locker,2019-05-03,Bongos,Overnight,2,"15 Yellowtail, 5 Rockfish, 1 Halibut"
163,daveys-locker,2019-05-03,Freelance,3/4 Day,22,"35 Sculpin, 30 Bocaccio, 4 Sand Bass, 4 Whitefish, 3 Calico Bass"
164,daveys-locker,2019-05-03,Thunderbird,Overnight,38,"80 Yellowtail, 5 Bonito, 1 Sheephead, 1 Barracuda"
165,daveys-locker,2019-05-03,Western Pride,3/4 Day,20,"105 Whitefish, 100 Sculpin, 33 Bocaccio, 27 Rockfish, 1 Yellowtail, 1 Sheephead"
166,daveys-locker,2019-05-04,Freelance,1/2 Day Twilight,33,"40 Sculpin, 8 Sand Bass, 2 Rockfish"
167,daveys-locker,2019-05-04,Freelance,3/4 Day,54,"210 Whitefish, 165 Sculpin, 160 Sanddab, 65 Rockfish"
168,daveys-locker,2019-05-04,Thunderbird,Overnight,37,"30 Yellowtail, 30 Whitefish, 25 Rockfish, 5 Sheephead"
169,daveys-locker,2019-05-05,Freelance,1/2 Day Twilight,33,"31 Sculpin, 1 Sanddab, 1 Rockfish"
170,daveys-locker,2019-05-05,Freelance,3/4 Day,50,"140 Sculpin, 45 Rockfish, 15 Whitefish, 6 Calico Bass, 4 Blue Perch, 1 Barracuda"
171,daveys-locker,2019-05-05,Thunderbird,Overnight,37,56 Yellowtail
172,daveys-locker,2019-05-05,Western Pride,1/2 Day AM,76,"130 Sculpin, 30 Bocaccio, 25 Rockfish, 15 Sanddab"
173,daveys-locker,2019-05-06,Freelance,3/4 Day,32,"73 Whitefish, 47 Sculpin, 26 Rockfish, 5 Vermilion Rockfish, 4 Blue Perch"
174,daveys-locker,2019-05-06,Thunderbird,Overnight,37,"183 Rockfish, 104 Whitefish, 5 Sheephead"
175,daveys-locker,2019-05-07,Bongos,3/4 Day,6,"70 Vermilion Rockfish, 15 Rockfish, 8 Bocaccio, 2 Calico Bass, 1 Barracuda"
176,daveys-locker,2019-05-07,Thunderbird,Overnight,30,"33 Bonito, 15 Yellowtail, 10 Barracuda, 9 Calico Bass"
177,daveys-locker,2019-05-08,Freelance,3/4 Day,26,"34 Rockfish, 31 Bocaccio, 25 Whitefish, 10 Vermilion Rockfish, 4 Sculpin, 4 Calico Bass, 4 Yellowtail, 2 Sheephead, 1 Bonito"
178,daveys-locker,2019-05-08,Thunderbird,Overnight,26,"102 Rockfish, 87 Whitefish, 16 Calico Bass, 9 Sheephead, 3 Barracuda, 2 Yellowtail"
179,daveys-locker,2019-05-09,Freelance,3/4 Day,60,"125 Rockfish, 21 Whitefish, 3 Calico Bass, 2 Sheephead, 1 Yellowtail"
180,daveys-locker,2019-05-09,Thunderbird,Overnight,20,"15 Whitefish, 12 Rockfish, 12 Calico Bass, 5 Sheephead, 2 Bonito, 1 Triggerfish, 1 Lingcod, 1 Barracuda"
181,daveys-locker,2019-05-10,Bongos,3/4 Day,6,"15 Vermilion Rockfish, 15 Calico Bass Released, 8 Rockfish, 7 Bocaccio"
182,daveys-locker,2019-05-10,Thunderbird,Overnight,27,"228 Whitefish, 131 Rockfish, 6 Barracuda, 5 Sheephead, 3 Yellowtail, 2 Lingcod"
183,daveys-locker,2019-05-10,Western Pride,1/2 Day AM,26,"105 Rockfish, 45 Sanddab, 38 Sculpin, 36 Bocaccio, 15 Whitefish, 10 Vermilion Rockfish"
184,daveys-locker,2019-05-10,Western Pride,1/2 Day PM,36,"89 Sculpin, 80 Rockfish, 27 Bocaccio, 10 Sanddab, 5 Vermilion Rockfish"
185,daveys-locker,2019-05-11,Bongos,3/4 Day,5,"30 Rockfish, 2 Yellowtail"
186,daveys-locker,2019-05-11,Bongos,Overnight,6,"17 Whitefish, 9 Spanish Jack, 7 Sheephead, 2 Calico Bass"
187,daveys-locker,2019-05-11,Freelance,1/2 Day Twilight,20,15 Sand Bass
188,daveys-locker,2019-05-11,Freelance,3/4 Day,55,"86 Whitefish, 40 Rockfish, 35 Blue Perch, 26 Sheephead, 18 Bocaccio, 15 Vermilion Rockfish, 11 Calico Bass, 11 Yellowtail, 3 Sculpin"
189,daveys-locker,2019-05-11,Thunderbird,Overnight,37,"137 Rockfish, 82 Whitefish, 43 Yellowtail, 12 Sheephead, 3 Barracuda, 1 Calico Bass"
